"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C36","CT 8*7 - C","88.773mm","20.066mm","88.773mm","20.066mm","92.773mm","20.066mm","T","360","470uF"
"C55","0603_C","59.944mm","79.248mm","59.944mm","79.248mm","60.714mm","79.248mm","T","180","100nF"
"U5","SSOP-20_208mil","61.595mm","30.48mm","61.595mm","30.48mm","64.52mm","33.93mm","T","180","74HC573D"
"CB7","CW","58.268mm","51.435mm","58.749mm","51.435mm","58.749mm","51.435mm","T","180","CB"
"CB6","CW","36.424mm","48.006mm","35.941mm","48.006mm","35.941mm","48.006mm","T","360","CB"
"R95","0603_R","84.074mm","34.392mm","84.093mm","34.389mm","84.863mm","34.389mm","T","180","4.7K次"
"R86","0603_R","84.074mm","39.726mm","84.093mm","39.723mm","83.323mm","39.723mm","T","360","4.7K次"
"R88","0603_R","71.78mm","39.98mm","71.774mm","39.977mm","71.004mm","39.977mm","T","360","22次"
"R96","0603_R","71.78mm","34.29mm","71.766mm","34.29mm","70.996mm","34.29mm","T","360","22次"
"JP2","XH2.54-3P","93.345mm","37.719mm","93.345mm","35.179mm","93.345mm","35.179mm","T","90","HDR-1X3"
"KEY3","TSW SMD-6*6*5","86.106mm","89.281mm","86.106mm","89.281mm","83.845mm","84.881mm","T","90","KEY"
"KEY2","TSW SMD-6*6*5","77.826mm","89.281mm","77.851mm","89.281mm","75.59mm","84.881mm","T","90","KEY"
"KEY1","TSW SMD-6*6*5","45.314mm","16.256mm","45.339mm","16.256mm","43.078mm","11.856mm","T","90","KEY"
"S6","SWITCH_SPOT","65.151mm","22.708mm","65.151mm","21.717mm","65.151mm","21.717mm","T","90","SW"
"S4","SWITCH_SPOT","64.77mm","12.192mm","64.77mm","11.176mm","64.77mm","11.176mm","T","90","SW"
"VR1","SOT-223","33.401mm","10.541mm","33.401mm","10.541mm","31.101mm","7.541mm","T","270","AMS1117-3.3"
"USB2","USB3.0-i","44.958mm","83.236mm","44.958mm","88.519mm","48.458mm","82.979mm","T","180","USB 3.0"
"U10","FP-S8-2-IPC_A","77.876mm","36.932mm","77.87mm","36.929mm","75.454mm","38.834mm","T","360","MAX13487EESA+"
"U9","SOIC-8_150mil","44.323mm","25.019mm","44.323mm","25.019mm","41.723mm","26.924mm","T","270","AT24C256C"
